----  ---------  -----------  -----------  ----------  ----------  -----------  ---------  ----------  ----------  ----------  -----------  ---------
      node_0     node_1       node_2       node_3      node_4      node_5       node_6     node_7      node_8      node_9      node_fake    P(t)
----  ---------  -----------  -----------  ----------  ----------  -----------  ---------  ----------  ----------  ----------  -----------  ---------
t=80  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=81  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=82  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=83  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=84  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=85  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=86  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=87  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=88  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=89  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=90  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=91  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=92  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=93  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=94  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=95  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=96  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=97  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=98  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=99  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
----  ---------  -----------  -----------  ----------  ----------  -----------  ---------  ----------  ----------  ----------  -----------  ---------
