----  -----------  ---------  --------  -----------  -----------  ---------  -----------  -----------  -----------  --------  -----------  --------
      node_0       node_1     node_2    node_3       node_4       node_5     node_6       node_7       node_8       node_9    node_fake    P(t)
----  -----------  ---------  --------  -----------  -----------  ---------  -----------  -----------  -----------  --------  -----------  --------
t=89  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=90  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=91  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=92  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=93  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=94  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=95  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=96  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=97  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=98  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=99  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
----  -----------  ---------  --------  -----------  -----------  ---------  -----------  -----------  -----------  --------  -----------  --------
